Epoch,Train Loss,Val Loss,Val Global Accuracy,Val Dice (DSC),Val IoU (Jaccard)
1,0.09563154429660507,0.08585337101649763,0.9845575327810647,0.9639914694688004,0.9327688369925292
2,0.07598469950749376,0.07642765449209475,0.985976652865198,0.9680215075711569,0.9394726121659628
3,0.0700183770609254,0.12327390244424055,0.9792793725400429,0.9521688846311562,0.9113617692671968
4,0.06628264430948949,0.06627829457544633,0.9878240695560744,0.9720803771992309,0.9468916739162805
5,0.06375763360681126,0.0734841561538062,0.9867045353997722,0.9692634174948926,0.941944223150333
6,0.0583991869937113,0.061531569532948846,0.9887293904107094,0.9741516967687688,0.9505714246123556
7,0.05639469953034705,0.05950581112796333,0.9890551021399379,0.9750788646196676,0.9522284661058783
8,0.05488384920128433,0.05943431542989449,0.9890156885788733,0.9751208796977119,0.9524051651526727
9,0.053681319621727196,0.05850223372852283,0.9891861246501195,0.9755317745891112,0.9530866530230867
10,0.052601073508095335,0.058829129024638424,0.9892142320211763,0.9754381743947015,0.9529798741291778
11,0.0494593837689381,0.057038944113151274,0.9895020374471132,0.9762421533750165,0.9544126764094256
12,0.048236898055217345,0.05741920425112061,0.9894688215613667,0.9761425213154467,0.9542217646536123
13,0.04734994594141542,0.057276565753971685,0.9896006240510952,0.9763571770062733,0.9546483497643784
14,0.04638479756705605,0.05837762841902074,0.9894534257488703,0.9759266016987264,0.9538498740131175
15,0.045527149183427325,0.05780310560645711,0.9895886854452387,0.9762154786392699,0.9544561908777864
