Epoch,Train Loss,Val Global Accuracy,Val Dice (DSC),Val IoU (Jaccard)
1,0.042407589986271164,0.9855224258701591,0.9667569589688627,0.936953915437847
2,0.029595873781657546,0.9881409244391239,0.9728822650263853,0.9480828268340425
3,0.026337452889618675,0.9892048990297964,0.9754528160754132,0.9528097933225232
4,0.02513281341136549,0.9895621385726074,0.9762022086607406,0.9542092660998484
5,0.024683263921005172,0.9896987865585121,0.9765335131583667,0.9547906727670008
6,0.02450839634942699,0.9897376034072939,0.9765863640998909,0.9548938809929698
7,0.024494316294910095,0.9897224884842449,0.97657843712118,0.9548838741651478
8,0.02448131512226725,0.9897021134600754,0.9765280966960337,0.9547885277373831
9,0.024490305988679573,0.9897144544665506,0.9765693011288089,0.9548628323996284
10,0.024485916869200687,0.9897426499573005,0.9766145398424314,0.9549459866393505
11,0.02450453422535058,0.9897130315417603,0.9765676153394568,0.9548578550693352
12,0.024492938709098314,0.9897032509007451,0.9765398485139319,0.9548181582178589
13,0.024448261573830767,0.9897371246032175,0.9766132570517787,0.9549322506137363
14,0.024469134335227613,0.9896896825373419,0.9765128757174604,0.9547563036909227
15,0.024503833385941167,0.9897295469105349,0.9765735376509906,0.9548664783985389
